300	2	3	100	100	100
239	227
234	224
242	231
238	227
232	225
232	221
234	224
236	226
241	229
232	223
246	231
237	226
225	218
238	227
237	223
243	233
240	229
234	225
234	223
240	229
249	236
243	231
233	223
233	237
237	226
240	229
236	226
241	235
206	212
238	226
231	217
241	231
227	216
235	224
244	232
229	215
242	230
239	229
240	229
242	230
240	229
234	224
241	230
238	228
238	227
238	227
242	231
254	238
239	228
229	217
235	226
230	222
210	213
238	227
240	228
236	226
234	223
243	231
224	218
222	215
240	227
240	229
242	230
245	234
179	196
227	221
237	227
236	225
236	226
234	224
244	233
234	221
217	213
241	229
229	221
240	228
242	231
245	232
236	225
236	226
242	229
239	229
242	231
233	223
241	230
236	226
234	223
234	225
176	160
224	218
243	231
250	235
239	225
243	231
235	225
239	227
244	232
233	223
238	227
161	154
125	128
141	135
162	161
214	215
121	117
127	135
151	154
249	232
148	153
153	171
129	136
186	185
135	149
178	172
151	145
127	133
158	156
124	123
158	160
141	142
132	144
126	122
238	231
123	128
176	173
158	158
146	147
128	137
119	126
127	131
131	131
161	162
140	136
140	153
128	131
157	157
137	144
201	193
160	160
171	173
169	169
126	131
170	173
143	151
172	176
157	161
107	117
125	132
138	146
154	154
148	151
155	153
196	184
140	144
151	167
181	180
170	199
125	126
153	155
140	161
154	160
145	143
133	159
186	199
169	174
135	145
186	197
138	140
172	173
172	173
211	214
132	138
138	144
163	178
129	137
171	167
168	172
168	171
166	168
183	184
125	130
148	153
159	156
188	187
177	164
153	154
200	205
148	141
144	139
173	178
147	146
154	160
150	150
178	178
122	128
151	153
150	155
160	166
135	145
190	188
255	245
197	179
255	244
255	245
184	188
255	245
255	244
255	246
255	244
255	244
255	245
255	245
240	222
194	173
255	244
255	244
230	203
255	245
255	245
255	244
255	245
255	245
255	245
255	245
255	244
255	244
208	221
255	245
191	186
255	245
255	245
255	245
255	244
255	244
255	245
255	243
255	244
255	244
255	243
255	245
231	225
255	244
255	244
255	244
255	244
200	189
206	196
255	245
234	223
255	244
255	244
255	245
255	244
255	244
255	244
255	245
255	244
255	244
255	245
255	243
255	247
255	245
255	244
255	244
255	244
255	244
255	244
201	196
193	177
255	244
140	147
255	244
255	245
255	244
255	245
255	244
255	244
255	245
236	217
255	245
255	244
255	244
255	243
255	245
255	245
240	203
202	192
255	245
255	245
255	244
255	245
255	245
255	245
255	244
255	244
255	244
255	245
255	244
255	244
255	245
